cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
gpt-4.1-mini|hotpotqa|combine_all|immediate,gpt-4.1-mini,hotpotqa,combine_all,immediate,True,120,6,5,0.8333333333333334,60,121,91.5,85.0,0.5,0.05,0,0.0,53.67,59.67,-6.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/combine_all_immediate_s0
gpt-4.1-mini|hotpotqa|original|budget_proportional,gpt-4.1-mini,hotpotqa,original,budget_proportional,True,162,7,6,0.8571428571428571,74,154,104.42857142857143,97.0,0.4567901234567901,0.043209876543209874,0,0.0,54.67,59.67,-5.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/original_budget_proportional_s0
gpt-4.1-mini|hotpotqa|summarize_before|budget_proportional,gpt-4.1-mini,hotpotqa,summarize_before,budget_proportional,True,222,6,4,0.6666666666666666,74,217,135.5,135.5,0.3333333333333333,0.02702702702702703,0,0.0,58.67,59.67,-1.0,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/summarize_before_budget_proportional_s0
gpt-4.1-mini|hotpotqa|original|immediate,gpt-4.1-mini,hotpotqa,original,immediate,True,128,6,5,0.8333333333333334,60,129,89,85.0,0.46875,0.046875,0,0.0,53.67,59.67,-6.0,severe,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/hotpotqa/original_immediate_s0
gpt-4.1-mini|musique|nomerge|nomerge,gpt-4.1-mini,musique,nomerge,nomerge,False,214,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,51.33,51.33,0.0,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/nomerge_s0
gpt-4.1-mini|musique|summarize_before|immediate,gpt-4.1-mini,musique,summarize_before,immediate,True,136,9,8,0.8888888888888888,31,137,83.88888888888889,81.0,0.22794117647058823,0.0661764705882353,1,0.1111111111111111,55.0,51.33,3.6700000000000017,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/summarize_before_immediate_s0
gpt-4.1-mini|musique|combine_all|score_plateau,gpt-4.1-mini,musique,combine_all,score_plateau,True,210,3,2,0.6666666666666666,58,195,105,62.0,0.2761904761904762,0.014285714285714285,0,0.0,56.33,51.33,5.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/combine_all_score_plateau_s0
gpt-4.1-mini|musique|combine_all|budget_proportional,gpt-4.1-mini,musique,combine_all,budget_proportional,True,202,8,6,0.75,87,182,147.25,159.0,0.4306930693069307,0.039603960396039604,0,0.0,53.33,51.33,2.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/combine_all_budget_proportional_s0
gpt-4.1-mini|musique|original|score_plateau,gpt-4.1-mini,musique,original,score_plateau,True,239,4,3,0.75,48,240,144.5,145.0,0.200836820083682,0.016736401673640166,1,0.25,57.67,51.33,6.340000000000003,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/original_score_plateau_s0
gpt-4.1-mini|musique|summarize_before|score_plateau,gpt-4.1-mini,musique,summarize_before,score_plateau,True,252,4,2,0.5,58,244,135.75,120.5,0.23015873015873015,0.015873015873015872,2,0.5,53.67,51.33,2.3400000000000034,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/summarize_before_score_plateau_s0
