cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
qwen3-8b|musique|summarize_before|budget_proportional,qwen3-8b,musique,summarize_before,budget_proportional,True,117,7,7,1.0,70,106,89.57142857142857,88.0,0.5982905982905983,0.05982905982905983,0,0.0,46.67,48.33,-1.6599999999999966,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/summarize_before_budget_proportional_s0
qwen3-8b|musique|original|immediate,qwen3-8b,musique,original,immediate,True,163,7,7,1.0,26,160,100.14285714285714,97.0,0.15950920245398773,0.04294478527607362,1,0.14285714285714285,51.0,48.33,2.6700000000000017,good,results/sec4_configuration_sweep_seed0/qwen3-8b/musique/original_immediate_s0
qwen3-8b|ifbench|nomerge|nomerge,qwen3-8b,ifbench,nomerge,nomerge,False,102,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,31.97,31.97,0.0,,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/nomerge_s0
qwen3-8b|ifbench|summarize_before|immediate,qwen3-8b,ifbench,summarize_before,immediate,True,41,4,3,0.75,21,36,28.75,29.0,0.5121951219512195,0.0975609756097561,0,0.0,34.69,31.97,2.719999999999999,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/summarize_before_immediate_s0
qwen3-8b|ifbench|combine_all|score_plateau,qwen3-8b,ifbench,combine_all,score_plateau,True,63,1,1,1.0,36,36,36,36.0,0.5714285714285714,0.015873015873015872,0,0.0,34.69,31.97,2.719999999999999,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/combine_all_score_plateau_s0
qwen3-8b|ifbench|combine_all|budget_proportional,qwen3-8b,ifbench,combine_all,budget_proportional,True,41,3,3,1.0,27,36,31.333333333333332,31.0,0.6585365853658537,0.07317073170731707,0,0.0,36.22,31.97,4.25,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/combine_all_budget_proportional_s0
qwen3-8b|ifbench|original|score_plateau,qwen3-8b,ifbench,original,score_plateau,True,56,2,2,1.0,36,57,46.5,46.5,0.6428571428571429,0.03571428571428571,0,0.0,34.35,31.97,2.3800000000000026,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/original_score_plateau_s0
qwen3-8b|ifbench|summarize_before|score_plateau,qwen3-8b,ifbench,summarize_before,score_plateau,True,75,1,1,1.0,36,36,36,36.0,0.48,0.013333333333333334,0,0.0,34.69,31.97,2.719999999999999,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/summarize_before_score_plateau_s0
qwen3-8b|ifbench|combine_all|immediate,qwen3-8b,ifbench,combine_all,immediate,True,49,3,2,0.6666666666666666,21,50,32.666666666666664,27.0,0.42857142857142855,0.061224489795918366,0,0.0,9.69,31.97,-22.28,catastrophic,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/combine_all_immediate_s0
qwen3-8b|ifbench|original|budget_proportional,qwen3-8b,ifbench,original,budget_proportional,True,46,3,3,1.0,27,36,31.333333333333332,31.0,0.5869565217391305,0.06521739130434782,0,0.0,36.22,31.97,4.25,good,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/original_budget_proportional_s0
qwen3-8b|ifbench|summarize_before|budget_proportional,qwen3-8b,ifbench,summarize_before,budget_proportional,True,36,3,3,1.0,27,36,31.333333333333332,31.0,0.75,0.08333333333333333,0,0.0,31.46,31.97,-0.509999999999998,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/summarize_before_budget_proportional_s0
qwen3-8b|ifbench|original|immediate,qwen3-8b,ifbench,original,immediate,True,35,4,4,1.0,21,36,28.5,28.5,0.6,0.11428571428571428,0,0.0,31.29,31.97,-0.6799999999999997,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/ifbench/original_immediate_s0
