group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,combine_all_score_plateau_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,combine_all_score_plateau_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,combine_all_score_plateau_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,combine_all_score_plateau_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,combine_all_score_plateau_s0,7,reflect,[3],0.42,0.37,0.04999999999999999,2354,7230,4
phase_a_qwen,hover,combine_all_score_plateau_s0,8,merge,"[1, 5]",0.38333333333333336,0.3466666666666667,0.03666666666666668,2659,8255,4
phase_a_qwen,hover,combine_all_score_plateau_s0,9,reflect,[8],0.37666666666666665,0.38333333333333336,-0.00666666666666671,2974,10569,4
phase_a_qwen,hover,combine_all_score_plateau_s0,10,reflect,[5],0.36,0.32666666666666666,0.033333333333333326,3298,7951,4
phase_a_qwen,hover,combine_all_score_plateau_s0,11,reflect,[10],0.39,0.36,0.030000000000000027,3604,8333,4
phase_a_qwen,hover,combine_all_score_plateau_s0,12,merge,"[1, 6]",0.4033333333333333,0.36666666666666664,0.03666666666666668,3909,5977,4
phase_a_qwen,hover,combine_all_score_plateau_s0,13,reflect,[6],0.36666666666666664,0.36666666666666664,0.0,4263,7044,4
phase_a_qwen,hover,combine_all_score_plateau_s0,14,reflect,[9],0.38,0.37666666666666665,0.003333333333333355,4626,11639,4
phase_a_qwen,hover,combine_all_score_plateau_s0,15,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,4944,4647,4
phase_a_qwen,hover,combine_all_score_plateau_s0,16,merge,"[8, 11]",0.37,0.39,-0.020000000000000018,5249,10479,4
phase_a_qwen,hover,combine_all_score_plateau_s0,17,reflect,[4],0.37333333333333335,0.3333333333333333,0.040000000000000036,5561,7389,4
phase_a_qwen,hover,combine_all_score_plateau_s0,18,reflect,[11],0.36,0.39,-0.030000000000000027,5879,8742,4
phase_a_qwen,hover,combine_all_score_plateau_s0,19,reflect,[3],0.4033333333333333,0.37,0.033333333333333326,6194,7087,4
phase_a_qwen,hover,combine_all_score_plateau_s0,20,merge,"[6, 14]",0.42333333333333334,0.38,0.043333333333333335,6499,13936,4
phase_a_qwen,hover,combine_all_score_plateau_s0,21,reflect,[15],0.38666666666666666,0.37,0.016666666666666663,6829,5224,4
phase_a_qwen,hover,nomerge_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,nomerge_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
