run_dir,run_id,iteration,event,p1_idx,p2_idx,anc_idx,new_idx,lift_full_val,sentence_entropy,predictor_entropy,coverage_p1,coverage_p2,coverage_min,novelty_fraction,behavioral_delta_rate,length_delta_vs_anc_total,subsample_win,subsample_tie,subsample_loss,parent_gen_depth_p1,parent_gen_depth_p2,parent_gen_depth_max,is_merge_of_merge,noop_predictor_rate,snr_semantic_novelty_rate,slc_lost_count_p1,slc_lost_count_p2,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,judge_contradiction_span
P1_result/phase_a_main/hover/combine_all_score_plateau_s0,combine_all_score_plateau_s0,103,rejected,3,6,0,,,0.7511050212929523,0.946394630357186,0.7651515151515151,0.7916666666666667,0.7651515151515151,0.0,0.0,794,0,2,3,1,2,2,False,0.5,,,,,,,,,,,,,
P1_result/phase_a_main/hover/combine_all_score_plateau_s0,combine_all_score_plateau_s0,110,accepted,13,14,2,16,0.036666666666666625,0.9507967581999703,0.946394630357186,0.7896505376344086,1.0,0.7896505376344086,0.0013386880856760374,0.0,1508,0,4,1,3,4,4,False,0.5,0.0,0,0,0,99,50,73,5,5,5,5,False,
P1_result/phase_a_main/hover/combine_all_score_plateau_s0,combine_all_score_plateau_s0,125,accepted,5,10,0,21,0.006666666666666654,0.9173030469840292,0.946394630357186,0.765625,0.9979887218045113,0.765625,0.002617801047120419,0.0,1891,0,3,2,2,3,3,False,0.25,0.0,0,0,0,114,59,63,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,30,accepted,4,6,0,8,0.003333333333333355,0.8412118131443582,0.946394630357186,0.8573843050566838,0.7638888888888888,0.7638888888888888,0.0,0.0,765,0,4,1,2,2,2,False,0.5,0.0,0,0,0,44,39,28,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,47,accepted,5,8,0,10,0.013333333333333308,0.7728276546672913,0.946394630357186,0.5711258564201125,0.7916666666666667,0.5711258564201125,0.0,0.0,1134,0,3,2,2,3,3,True,0.25,0.0,3,0,3,67,59,44,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,51,accepted,3,8,0,12,0.006666666666666654,0.6628061327333954,0.946394630357186,0.529040404040404,0.7916666666666667,0.529040404040404,0.0,0.0,1134,0,3,2,1,3,3,True,0.25,0.0,0,0,0,67,30,44,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,62,accepted,11,12,0,14,0.0,0.887976319515135,1.0,0.6122517864796295,1.0,0.6122517864796295,0.0,0.0,1134,0,3,2,4,4,4,True,0.5,0.0,3,0,3,67,47,67,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,74,accepted,8,13,4,16,-0.006666666666666654,0.9963714256678535,0.946394630357186,0.7894736842105263,0.8573843050566838,0.7894736842105263,0.0,0.0,520,0,3,2,3,3,3,True,0.5,0.0,0,0,0,67,44,62,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,76,rejected,5,17,0,,,0.7470409262400355,0.946394630357186,0.5732157205789422,0.7916666666666667,0.5732157205789422,0.0,0.0,1197,0,1,4,2,4,4,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,80,accepted,3,6,0,19,0.0,0.7511050212929523,0.946394630357186,0.7651515151515151,0.7916666666666667,0.7651515151515151,0.0,0.0,794,0,3,2,1,2,2,False,0.5,0.0,0,0,0,52,30,28,5,5,5,5,False,
P1_result/phase_a_main/hover/original_budget_proportional_s0,original_budget_proportional_s0,85,accepted,13,20,4,21,0.0,0.587311608997759,0.8112781244591328,0.5251686518296581,1.0,0.5251686518296581,0.0,0.0,669,0,3,2,3,7,7,False,0.25,0.0,3,0,3,78,62,78,5,5,5,5,False,
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,42,accepted,6,7,0,8,0.0033333333333332993,0.981014714075629,0.946394630357186,0.7692307692307693,0.7727272727272727,0.7692307692307693,0.0,0.0,1021,0,4,1,2,2,2,False,0.5,0.0,0,0,0,67,54,43,5,5,5,5,False,
