model,n_features,n_examples,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,majority_baseline,top_5_coefs
A_lexical_only,7,265,5,0.5169166263505885,0.03535487519009936,0.5702824109148557,0.07642884469641016,0.5686851884171793,0.05593578187341956,0.8721406541692363,0.026313463019873303,0.8037735849056604,coverage_p1:+1.03 | coverage_min:-0.79 | coverage_p2:+0.25 | sentence_entropy:-0.24 | predictor_entropy:-0.18
B_+_lineage,9,265,5,0.5206875235177122,0.03115341216398131,0.5674088307702885,0.07162823839350994,0.5499105082854373,0.05831532116115465,0.8652914786330392,0.023583922117333993,0.8037735849056604,coverage_p1:+1.05 | coverage_min:-0.86 | coverage_p2:+0.28 | sentence_entropy:-0.22 | predictor_entropy:-0.19
C_+_semantic,11,265,5,0.5207520292425953,0.0402056869933907,0.5285131034592181,0.05993478996069635,0.5579427450031533,0.06178255596243105,0.868061287684047,0.020895629633866118,0.8037735849056604,coverage_p1:+1.07 | coverage_min:-0.79 | slc_lost_count_max:+0.58 | coverage_p2:+0.33 | length_delta_vs_anc_total:+0.27
D_+_judge,16,265,5,0.5358490566037737,0.046752874314580625,0.5555558772858828,0.06656972807466098,0.575018146912645,0.045933071609660744,0.8730682089349869,0.030768379057710557,0.8037735849056604,coverage_p1:+1.02 | coverage_min:-0.91 | slc_lost_count_max:+0.56 | judge_clarity:-0.55 | length_delta_vs_anc_total:+0.35
E_sanity_+_sub,19,265,5,0.9849755415793151,0.021992048372070933,0.9699821109123434,0.04343894849197621,0.9871408002094333,0.019815737254913642,0.9961422157641862,0.0057767140277286385,0.8037735849056604,subsample_loss:-2.93 | subsample_tie:+2.70 | length_delta_vs_anc_total:+1.08 | noop_predictor_rate:+0.99 | subsample_win:+0.93
