model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
gpt-4.1-mini,hover,original,budget_proportional,accepted,P1_result/phase_a_main/hover/original_budget_proportional_s0,85,13,20,4,669,0.587311608997759,0.8112781244591328,0.5251686518296581,0.5251686518296581,1.0,0.0,0.0,0.25,7,0,3,2,0.0,3,78,62,78,5,5,5,5,False,0.3
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,42,6,7,0,1021,0.981014714075629,0.946394630357186,0.7692307692307693,0.7692307692307693,0.7727272727272727,0.0,0.0,0.5,2,0,4,1,0.0,0,67,54,43,5,5,5,5,False,0.4
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,55,8,11,0,1021,0.9310558233850329,1.0,0.6167520495876191,1.0,0.6167520495876191,0.0,0.0,0.5,3,0,3,2,0.0,5,67,67,50,5,5,5,5,False,0.3
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,60,6,11,0,1214,0.8410172521617674,0.946394630357186,0.6296952810103925,0.6296952810103925,0.7727272727272727,0.0,0.0,0.25,3,0,4,1,0.0,1,74,54,50,5,5,5,5,False,0.4
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,68,12,15,3,652,0.9844268978000115,1.0,0.5987610537805677,1.0,0.5987610537805677,0.0,0.0,0.5,4,0,3,2,0.0,4,67,67,62,5,5,5,5,False,0.3
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,73,7,15,3,781,0.9632238106222109,0.946394630357186,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.0,0.0,0.5,3,0,4,1,0.0,0,75,43,62,5,5,5,5,False,0.4
gpt-4.1-mini,hover,original,immediate,accepted,P1_result/phase_a_main/hover/original_immediate_s0,85,11,15,0,1343,0.8439289380438535,0.946394630357186,0.6296952810103925,0.7692307692307693,0.6296952810103925,0.0,0.0,0.25,3,0,4,1,0.0,0,82,50,62,5,5,5,5,False,0.4
gpt-4.1-mini,hover,original,score_plateau,accepted,P1_result/phase_a_main/hover/original_score_plateau_s0,42,4,6,2,462,0.8412118131443582,0.946394630357186,0.7638888888888888,0.8573843050566838,0.7638888888888888,0.0,0.0,0.5,2,0,3,2,0.0,0,44,39,28,5,5,5,5,False,0.3
gpt-4.1-mini,hover,original,score_plateau,accepted,P1_result/phase_a_main/hover/original_score_plateau_s0,84,4,10,0,1077,0.6285417682855349,0.946394630357186,0.5915614126241131,0.5915614126241131,0.7638888888888888,0.0,0.0,0.25,2,0,5,0,0.0,0,69,39,54,5,5,5,5,False,0.5
gpt-4.1-mini,hover,original,score_plateau,accepted,P1_result/phase_a_main/hover/original_score_plateau_s0,107,12,17,0,1688,0.7322393118460072,1.0,0.5608974358974359,0.5608974358974359,0.5711589456648477,0.0,0.0,0.0,4,0,3,2,0.0,3,92,49,80,5,5,5,5,False,0.3
